index,FIPS code,Hail Reports,Wind Reports
0,17013,32,76
1,17061,58,92
2,17083,82,112
3,17119,271,405
4,17133,108,122
5,17157,168,177
6,17163,303,434
7,17189,126,135
8,20005,130,79
9,20045,370,372
10,20059,243,232
11,20087,385,363
12,20091,606,507
13,20103,318,292
14,20121,167,140
15,20209,179,158
16,29037,363,257
17,29047,442,333
18,29049,158,128
19,29055,135,133
20,29071,277,339
21,29073,137,131
22,29095,657,596
23,29099,287,227
24,29101,285,218
25,29107,156,146
26,29113,116,184
27,29139,119,113
28,29165,317,243
29,29177,113,98
30,29183,291,359
31,29187,109,172
32,29189,640,734
33,29186,65,90
34,29219,103,122
35,29221,166,124
36,40011,304,169
37,40015,703,402
38,40017,681,369
39,40021,271,298
40,40027,774,425
41,40035,220,237
42,40037,499,373
43,40049,384,233
44,40051,611,419
45,40073,396,264
46,40081,429,238
47,40083,410,283
48,40097,336,315
49,40087,392,226
50,40101,363,378
51,40105,157,201
52,40109,1154,810
53,40111,327,234
54,40113,642,599
55,40117,271,233
56,40123,355,237
57,40125,341,200
58,40131,344,387
59,40133,258,140
60,40143,996,842
61,40145,267,278
62,40147,271,251
63,48035,238,114
64,48077,425,139
65,48085,606,397
66,48097,344,199
67,48113,798,684
68,48119,73,88
69,48121,790,474
70,48139,420,301
71,48143,304,136
72,48147,246,208
73,48181,433,367
74,48213,189,208
75,48217,296,152
76,48221,228,147
77,48223,181,223
78,48231,244,256
79,48237,227,92
80,48251,335,285
81,48257,198,261
82,48337,355,123
83,48349,180,213
84,48363,377,177
85,48367,512,256
86,48379,66,74
87,48397,83,86
88,48439,1310,914
89,48467,165,200
90,48497,446,294
